,batch,urls
0,600-839,https://austin.craigslist.org/ctd/d/2015-mercedes-benz-class-300/6580879789.html
1,600-839,https://austin.craigslist.org/cto/d/08-bmw-7-series/6580873315.html
2,600-839,https://austin.craigslist.org/cto/d/2006-mini-cooper-125-miles/6575850515.html
3,600-839,https://austin.craigslist.org/cto/d/2006-nissan-maxima/6570685123.html
4,600-839,https://austin.craigslist.org/ctd/d/2016-land-rover-lr4-hse-suv/6580876283.html
5,600-839,https://austin.craigslist.org/cto/d/2008-lexus-is250-clean-ask/6570320187.html
6,600-839,https://austin.craigslist.org/cto/d/1963-chevy-2500-pu-truck/6567941584.html
7,600-839,https://austin.craigslist.org/cto/d/2015-hyundai-accent-7990/6580871727.html
8,600-839,https://austin.craigslist.org/cto/d/2014-volkswagen-jetta-only/6564502082.html
9,600-839,https://austin.craigslist.org/cto/d/2010-kia-forte-koup/6580871445.html
10,600-839,https://austin.craigslist.org/cto/d/2008-audi-tt-quattro-32l/6580871324.html
11,600-839,https://austin.craigslist.org/cto/d/2014-toyota-prius-ii-white-at/6558286006.html
12,600-839,https://austin.craigslist.org/cto/d/2008-chevy-suburban-ltz/6580871290.html
13,600-839,https://austin.craigslist.org/cto/d/2013-chevrolet-silverado/6564526627.html
14,600-839,https://austin.craigslist.org/cto/d/2010-lexus-es350-73k-miles-we/6563709209.html
15,600-839,https://austin.craigslist.org/cto/d/2006-honda-odyssey-3rd-row/6571005144.html
16,600-839,https://austin.craigslist.org/cto/d/88-chevy/6577578611.html
17,600-839,https://austin.craigslist.org/cto/d/2014-jeep-grand-cherokee/6557712422.html
18,600-839,https://austin.craigslist.org/cto/d/2003-ford-trac-truck/6571421963.html
19,600-839,https://austin.craigslist.org/cto/d/2008-toyota-avalon-limited-we/6564487379.html
20,600-839,https://austin.craigslist.org/cto/d/bmw-5-series/6580868597.html
21,600-839,https://austin.craigslist.org/cto/d/2011-toyota-tacoma-4x4-2dr/6580857916.html
22,600-839,https://austin.craigslist.org/cto/d/1988-gmc-sierra-sle-swb-1500/6578806048.html
23,600-839,https://austin.craigslist.org/cto/d/2006-saturn-vue-100k-miles/6580867280.html
24,600-839,https://austin.craigslist.org/cto/d/2002-lexus-is-300/6580866451.html
25,600-839,https://austin.craigslist.org/cto/d/1998-chevy-3500-dually/6580864758.html
26,600-839,https://austin.craigslist.org/cto/d/2006-chevy-silverado-z71-4x4/6580864627.html
27,600-839,https://austin.craigslist.org/cto/d/2015-toyota-rav4-xle-silver/6558234385.html
28,600-839,https://austin.craigslist.org/cto/d/2013-nissan-juke/6580862896.html
29,600-839,https://austin.craigslist.org/cto/d/infiniti-g35-coupe/6580850952.html
30,600-839,https://austin.craigslist.org/cto/d/1997-nissan-pickup/6580861883.html
31,600-839,https://austin.craigslist.org/cto/d/2003-mini-cooper-low-miles/6562605502.html
32,600-839,https://austin.craigslist.org/cto/d/2001-chevy-tahoe-lt/6565925387.html
33,600-839,https://austin.craigslist.org/cto/d/2005-mercedes-benz-c230/6573327079.html
34,600-839,https://austin.craigslist.org/cto/d/2009-mercedes-benz-s550/6571297165.html
35,600-839,https://austin.craigslist.org/cto/d/2007-volvo-s40-t5/6580858708.html
36,600-839,https://austin.craigslist.org/cto/d/dodge-3500/6580858574.html
37,600-839,https://austin.craigslist.org/cto/d/vintage-classic-beauty-1960/6580856339.html
38,600-839,https://austin.craigslist.org/cto/d/2006-honda-pilot-ex-5990/6574459509.html
39,600-839,https://austin.craigslist.org/cto/d/1998-mazda-b4000-plus-cab/6556217224.html
40,600-839,https://austin.craigslist.org/cto/d/2005-mini-cooper-85k-miles-obo/6580840586.html
