,batch,urls
0,1320-1559,https://austin.craigslist.org/ctd/d/2013-nissan-altima-low-miles/6580517877.html
1,1320-1559,https://austin.craigslist.org/cto/d/2006-lexus-is250/6573050309.html
2,1320-1559,https://austin.craigslist.org/cto/d/2012-toyota-camry-se/6577808551.html
3,1320-1559,https://austin.craigslist.org/cto/d/nissan-pathfinder/6580513751.html
4,1320-1559,https://austin.craigslist.org/cto/d/2007-infiniti-g35-2dr-coupe/6580512378.html
5,1320-1559,https://austin.craigslist.org/ctd/d/2008-dodge-ram-1500-st-hemi/6580516074.html
6,1320-1559,https://austin.craigslist.org/cto/d/2003-toyota-tundra-access-cab/6580512109.html
7,1320-1559,https://austin.craigslist.org/cto/d/1969-gmc-customoriginal-miles/6580511609.html
8,1320-1559,https://austin.craigslist.org/cto/d/2004-bmw-325i/6580510784.html
9,1320-1559,https://austin.craigslist.org/ctd/d/2005-chevrolet-corvette-coupe/6580513786.html
10,1320-1559,https://austin.craigslist.org/cto/d/mazda-5-manual-tansmision/6580506253.html
11,1320-1559,https://austin.craigslist.org/cto/d/for-sale/6577037358.html
12,1320-1559,https://austin.craigslist.org/cto/d/1997-s10/6573873861.html
13,1320-1559,https://austin.craigslist.org/cto/d/door-pontiac-sunfire/6573874391.html
14,1320-1559,https://austin.craigslist.org/cto/d/04-dodge-ramx4/6580502290.html
15,1320-1559,https://austin.craigslist.org/cto/d/alfa-romeo-spider/6580500761.html
16,1320-1559,https://austin.craigslist.org/cto/d/2003-honda-accord-ex-coupe/6580500579.html
17,1320-1559,https://austin.craigslist.org/cto/d/2010-nissan-rogue-sl-lo-miles/6580500282.html
18,1320-1559,https://austin.craigslist.org/cto/d/2000-nissan-maximamiles/6580500283.html
19,1320-1559,https://austin.craigslist.org/cto/d/1965-malibu-ss-price-lowered/6559418013.html
20,1320-1559,https://austin.craigslist.org/cto/d/2005-hyundai-santa-fe-gls/6580499921.html
21,1320-1559,https://austin.craigslist.org/cto/d/1984-chevrolet-monte-carlo/6580499614.html
22,1320-1559,https://austin.craigslist.org/cto/d/2007-honda-accord/6580499218.html
23,1320-1559,https://austin.craigslist.org/cto/d/2011-corvette-grand-sport-3lt/6580498207.html
24,1320-1559,https://austin.craigslist.org/cto/d/toyota-prius-2005/6580498208.html
25,1320-1559,https://austin.craigslist.org/cto/d/2006-hyundai-sonata-gls/6580498153.html
26,1320-1559,https://austin.craigslist.org/ctd/d/2009-cadillac-escalade/6580501229.html
27,1320-1559,https://austin.craigslist.org/cto/d/nissan-versa-sv-2012/6580497019.html
28,1320-1559,https://austin.craigslist.org/cto/d/2002-ford-expedition-eddie/6558135428.html
29,1320-1559,https://austin.craigslist.org/ctd/d/2014-lincoln-navigator-suv/6580500453.html
30,1320-1559,https://austin.craigslist.org/cto/d/2007-honda-civic-coupe-ex/6580496070.html
31,1320-1559,https://austin.craigslist.org/cto/d/2003-honda-element-ex/6580495705.html
32,1320-1559,https://austin.craigslist.org/cto/d/2007-honda-civic-lx/6580495431.html
