,batch,urls
0,1080-1319,https://austin.craigslist.org/cto/d/2008-toyota-corolla-le-119k/6569227303.html
1,1080-1319,https://austin.craigslist.org/cto/d/2011-mustang-gt-50-track/6569869053.html
2,1080-1319,https://austin.craigslist.org/cto/d/1971-ford-f100-short-bed/6580620310.html
3,1080-1319,https://austin.craigslist.org/cto/d/2006-pontiac-grand-prix-4dr/6580593055.html
4,1080-1319,https://austin.craigslist.org/cto/d/mobility-2013-ford-150-fx4/6558222924.html
5,1080-1319,https://austin.craigslist.org/cto/d/2006-scion-tc/6580616573.html
6,1080-1319,https://austin.craigslist.org/ctd/d/2011-honda-cr-lx-suv/6580620139.html
7,1080-1319,https://austin.craigslist.org/cto/d/1956-chevy-two-door-price/6561953520.html
8,1080-1319,https://austin.craigslist.org/ctd/d/2011-jeep-wrangler-unlimited/6580619961.html
9,1080-1319,https://austin.craigslist.org/cto/d/1929-mercedes-benz-replica-vw/6566992836.html
10,1080-1319,https://austin.craigslist.org/cto/d/2014-ford-focus-se/6580615098.html
11,1080-1319,https://austin.craigslist.org/cto/d/2006-mercedes-coupe-clk-350/6572495054.html
12,1080-1319,https://austin.craigslist.org/cto/d/2015-jeep-patriot-obo/6574101583.html
13,1080-1319,https://austin.craigslist.org/ctd/d/2010-toyota-prius-1-owner/6580618596.html
14,1080-1319,https://austin.craigslist.org/cto/d/2008-vw-rabbit-very-clean/6580613603.html
15,1080-1319,https://austin.craigslist.org/cto/d/08-mercedes-c300-4matic-awd/6580613252.html
16,1080-1319,https://austin.craigslist.org/ctd/d/2007-cadillac-escalade-awd/6580616759.html
17,1080-1319,https://austin.craigslist.org/cto/d/hyundai-sonata-2009/6574597210.html
18,1080-1319,https://austin.craigslist.org/ctd/d/2007-chevrolet-silveradowd/6580615325.html
19,1080-1319,https://austin.craigslist.org/cto/d/2013-chrysler-200-v6/6580609788.html
20,1080-1319,https://austin.craigslist.org/cto/d/2008-honda-accord-ex/6580609552.html
21,1080-1319,https://austin.craigslist.org/cto/d/2002-honda-civic/6561923520.html
22,1080-1319,https://austin.craigslist.org/cto/d/2006-jeep-commander/6580609269.html
23,1080-1319,https://austin.craigslist.org/ctd/d/2012-chevrolet-silverado-1500/6580613332.html
24,1080-1319,https://austin.craigslist.org/cto/d/2010-dodge-challenger-8/6578276193.html
25,1080-1319,https://austin.craigslist.org/cto/d/infiniti-g35manual/6580607625.html
26,1080-1319,https://austin.craigslist.org/cto/d/2002-4rrunervsport/6565453284.html
27,1080-1319,https://austin.craigslist.org/ctd/d/2012-ford-150-xlt-8-ft-bed-2wd/6580611426.html
28,1080-1319,https://austin.craigslist.org/ctd/d/2015-ford-super-duty-250/6580611201.html
