,batch,urls
67,2320-2559,https://austin.craigslist.org/ctd/d/2017-chevrolet-silverado-1500/6579801353.html
68,2320-2559,https://austin.craigslist.org/cto/d/2006-ford-explorer-eddie-bauer/6579794696.html
69,2320-2559,https://austin.craigslist.org/ctd/d/2015-chevrolet-silverado-2500/6579799336.html
70,2320-2559,https://austin.craigslist.org/cto/d/2012-jeep-wrangleer-sport-4x4/6561673312.html
71,2320-2559,https://austin.craigslist.org/ctd/d/2015-toyota-camry-le-4dr/6579799149.html
72,2320-2559,https://austin.craigslist.org/ctd/d/2011-nissan-titan-sl/6579798807.html
73,2320-2559,https://austin.craigslist.org/cto/d/toyota-rav4-ysotid/6579793268.html
74,2320-2559,https://austin.craigslist.org/ctd/d/2011-nissan-frontier-sv/6579796414.html
75,2320-2559,https://austin.craigslist.org/ctd/d/2016-chevrolet-tahoe-ls/6579795849.html
76,2320-2559,https://austin.craigslist.org/ctd/d/2014-kia-sedona-ex-skueregular/6579793916.html
77,2320-2559,https://austin.craigslist.org/cto/d/ram-3500-mega-cab/6579788668.html
78,2320-2559,https://austin.craigslist.org/ctd/d/2013-toyota-prius/6579793514.html
79,2320-2559,https://austin.craigslist.org/cto/d/honda-cr-ex-2008/6574934451.html
80,2320-2559,https://austin.craigslist.org/cto/d/honda-crosstour-ex-2010/6574561137.html
81,2320-2559,https://austin.craigslist.org/ctd/d/2016-jeep-wrangler-unlimited/6579791243.html
82,2320-2559,https://austin.craigslist.org/cto/d/2003-ford-expedition-4x4/6571203374.html
83,2320-2559,https://austin.craigslist.org/ctd/d/2006-ford-250-fsd-lariat-crew/6579791043.html
84,2320-2559,https://austin.craigslist.org/cto/d/2008-mazda-b2300-one-owner/6574513731.html
85,2320-2559,https://austin.craigslist.org/cto/d/2012-honda-civic-ex-leather/6579785306.html
86,2320-2559,https://austin.craigslist.org/cto/d/2012-mazda-3-speed-hatchback/6571424649.html
87,2320-2559,https://austin.craigslist.org/cto/d/land-rover-defendertdi/6579784460.html
88,2320-2559,https://austin.craigslist.org/cto/d/1979-ford-bronco/6579781384.html
89,2320-2559,https://austin.craigslist.org/cto/d/2007-honda-accord/6579783395.html
90,2320-2559,https://austin.craigslist.org/ctd/d/2013-ford-transit-connect-xlt/6579787992.html
91,2320-2559,https://austin.craigslist.org/ctd/d/2007-gmc-yukon-sle-sku7rsuv/6579786168.html
92,2320-2559,https://austin.craigslist.org/cto/d/1963-chevrolet-ck-frame-off/6579781304.html
93,2320-2559,https://austin.craigslist.org/cto/d/2006-honda-accord-lx/6575751791.html
94,2320-2559,https://austin.craigslist.org/cto/d/2004-pilot/6556383689.html
95,2320-2559,https://austin.craigslist.org/ctd/d/2016-chevrolet-tahoe-ls/6579784291.html
96,2320-2559,https://austin.craigslist.org/cto/d/chevy-flatbed-truck/6579778789.html
97,2320-2559,https://austin.craigslist.org/ctd/d/2012-mini-cooper-s/6579782986.html
98,2320-2559,https://austin.craigslist.org/cto/d/2013-hyundai-sonata/6579777338.html
99,2320-2559,https://austin.craigslist.org/cto/d/2006-dodge-2500-mega-cab-4x4/6569643663.html
100,2320-2559,https://austin.craigslist.org/ctd/d/2011-nissan-xterra-2wd-must/6579781710.html
101,2320-2559,https://austin.craigslist.org/cto/d/2010-toyota-corolla-type/6553833129.html
102,2320-2559,https://austin.craigslist.org/ctd/d/2014-cadillac-cts-vsport-rwd/6579781149.html
103,2320-2559,https://austin.craigslist.org/cto/d/2012-bmw-535-sunroof/6565621871.html
104,2320-2559,https://austin.craigslist.org/ctd/d/2013-dodge-charger-se/6579778562.html
105,2320-2559,https://austin.craigslist.org/cto/d/factory-supercharged-2008/6566108256.html
106,2320-2559,https://austin.craigslist.org/ctd/d/2012-ram-2500-st-pickup-truck/6579776662.html
107,2320-2559,https://austin.craigslist.org/cto/d/silverado-2017-ltz/6579771444.html
108,2320-2559,https://austin.craigslist.org/ctd/d/2016-volkswagen-golf-gti/6579775693.html
109,2320-2559,https://austin.craigslist.org/cto/d/2015-lexus-ct200-hybrid/6579770272.html
110,2320-2559,https://austin.craigslist.org/cto/d/infiniti-m37s/6579769281.html
111,2320-2559,https://austin.craigslist.org/ctd/d/2008-chevrolet-silverado-1500/6579773304.html
112,2320-2559,https://austin.craigslist.org/ctd/d/2005-jaguar-xk8-xk8/6579772777.html
113,2320-2559,https://austin.craigslist.org/ctd/d/2015-chevrolet-captiva-sport/6579771738.html
114,2320-2559,https://austin.craigslist.org/cto/d/for-sale-2003-land-rover/6579766253.html
115,2320-2559,https://austin.craigslist.org/ctd/d/2012-nissan-pathfinder-le-/6579769668.html
116,2320-2559,https://austin.craigslist.org/cto/d/2004-lexus-es-330-navigation/6579762565.html
117,2320-2559,https://austin.craigslist.org/cto/d/2004-kia-sedona-mini-vanmiles/6567472119.html
118,2320-2559,https://austin.craigslist.org/cto/d/2001-ford-150-v6-automatic/6579762095.html
119,2320-2559,https://austin.craigslist.org/cto/d/2004-gmc-envoy-xuv/6576945607.html
120,2320-2559,https://austin.craigslist.org/cto/d/2004-gmc-envoy-xuv/6576945607.html
121,2320-2559,https://austin.craigslist.org/ctd/d/2011-honda-pilot-touring-2wd/6579766852.html
122,2320-2559,https://austin.craigslist.org/cto/d/2010-chevy-impala/6561817998.html
123,2320-2559,https://austin.craigslist.org/cto/d/2007-mitsubishi-galant/6561816857.html
124,2320-2559,https://austin.craigslist.org/cto/d/ford-f150/6573149890.html
125,2320-2559,https://austin.craigslist.org/cto/d/2008-toyota-sienna-xle-leather/6579732700.html
126,2320-2559,https://austin.craigslist.org/cto/d/2007-infiniti-g35-coupe-5990/6575798464.html
127,2320-2559,https://austin.craigslist.org/ctd/d/2000-toyota-4runner-limited/6579759228.html
128,2320-2559,https://austin.craigslist.org/cto/d/2004-dodge-ram-2500-quad-4wd/6579752654.html
129,2320-2559,https://austin.craigslist.org/cto/d/ford-f150-4x4/6570979264.html
130,2320-2559,https://austin.craigslist.org/cto/d/1999-toyota-tacoma/6579751915.html
131,2320-2559,https://austin.craigslist.org/cto/d/2006-toyota-tacoma-4x4/6552528667.html
132,2320-2559,https://austin.craigslist.org/cto/d/2006-toyota-tacoma-4x4/6569482929.html
133,2320-2559,https://austin.craigslist.org/cto/d/2007-yukon-lt/6569484027.html
134,2320-2559,https://austin.craigslist.org/cto/d/2006-toyota-tacoma-4x4/6565435231.html
135,2320-2559,https://austin.craigslist.org/cto/d/2009-cadillac-srx/6552409039.html
136,2320-2559,https://austin.craigslist.org/cto/d/2001-jeep-wrangler-4x4/6575589789.html
137,2320-2559,https://austin.craigslist.org/cto/d/2004-chevy-silverado-lt/6552408896.html
138,2320-2559,https://austin.craigslist.org/cto/d/2001-jeep-wrangler-4x4/6577553911.html
139,2320-2559,https://austin.craigslist.org/ctd/d/2014-mercedes-benz-class-ml/6579749888.html
140,2320-2559,https://austin.craigslist.org/cto/d/17-mitsubishi-mirage/6579728176.html
141,2320-2559,https://austin.craigslist.org/cto/d/2004-silverado/6552413829.html
142,2320-2559,https://austin.craigslist.org/ctd/d/2011-cadillac-cts-premium/6579749038.html
143,2320-2559,https://austin.craigslist.org/cto/d/2017-jeep-5-pcs-17wheels-and/6579744086.html
144,2320-2559,https://austin.craigslist.org/cto/d/1980-c10-hot-rod/6562969649.html
145,2320-2559,https://austin.craigslist.org/ctd/d/2010-toyota-sienna-xle/6579747454.html
146,2320-2559,https://austin.craigslist.org/cto/d/2015-mazda-3/6570256479.html
147,2320-2559,https://austin.craigslist.org/cto/d/08-nissan-sentra-low-miles/6558171325.html
148,2320-2559,https://austin.craigslist.org/cto/d/honda-odyssey-2003/6579737547.html
149,2320-2559,https://austin.craigslist.org/cto/d/bmw-m550i-sport/6573197608.html
150,2320-2559,https://austin.craigslist.org/cto/d/2009-kia-spectra-automatic/6558928227.html
151,2320-2559,https://austin.craigslist.org/cto/d/1978-tow-trucck/6560183309.html
152,2320-2559,https://austin.craigslist.org/cto/d/ford-five-hundred-for-sale/6579736196.html
153,2320-2559,https://austin.craigslist.org/cto/d/2004-audi-a4/6579735013.html
154,2320-2559,https://austin.craigslist.org/ctd/d/2013-honda-civic-may/6579740067.html
155,2320-2559,https://austin.craigslist.org/cto/d/2009-lifted-duramax/6568595087.html
156,2320-2559,https://austin.craigslist.org/ctd/d/2009-ford-escape-xls-easy/6579738534.html
157,2320-2559,https://austin.craigslist.org/cto/d/2008-toyota-corolla-automatic/6579714680.html
158,2320-2559,https://austin.craigslist.org/cto/d/scion-hatchback/6560122305.html
159,2320-2559,https://austin.craigslist.org/ctd/d/04-cadillac-deville-clean-car/6579735529.html
160,2320-2559,https://austin.craigslist.org/ctd/d/2012-mercedes-benz-c63-amg/6579734511.html
161,2320-2559,https://austin.craigslist.org/cto/d/2004-nissan-maxima-se-sedan/6579725697.html
162,2320-2559,https://austin.craigslist.org/cto/d/1992-ford-3ton-flatbed/6579729208.html
163,2320-2559,https://austin.craigslist.org/cto/d/2004-chevrolet-suburban-lt/6579728638.html
164,2320-2559,https://austin.craigslist.org/cto/d/2002-ford-escape/6579728215.html
