,batch,urls
0,840-1079,https://austin.craigslist.org/cto/d/chevy-silverado-42k/6580734440.html
1,840-1079,https://austin.craigslist.org/cto/d/2002-jeep-wrangler-4x4/6570901994.html
2,840-1079,https://austin.craigslist.org/cto/d/2000-chevrolet-suburban-3rd/6570147566.html
3,840-1079,https://austin.craigslist.org/cto/d/2013-infiniti-g37x-29k/6580734096.html
4,840-1079,https://austin.craigslist.org/cto/d/2006-toyota-4runner-1-owner/6564488307.html
5,840-1079,https://austin.craigslist.org/cto/d/toyota-camry/6580733884.html
6,840-1079,https://austin.craigslist.org/cto/d/2010-ford-f150-raptor/6572506490.html
7,840-1079,https://austin.craigslist.org/cto/d/2002-vw-jetta-tdi-48mpg/6580731868.html
8,840-1079,https://austin.craigslist.org/cto/d/2006-gmc-envoy-sle-suv-148k/6553644204.html
9,840-1079,https://austin.craigslist.org/cto/d/07-honda-accord/6572404361.html
10,840-1079,https://austin.craigslist.org/ctd/d/2016-kia-soul-plus/6580735201.html
11,840-1079,https://austin.craigslist.org/cto/d/2007-honda-odyssey/6577296126.html
12,840-1079,https://austin.craigslist.org/cto/d/2015-chevy-silverado-single/6580721322.html
13,840-1079,https://austin.craigslist.org/cto/d/2006-chevy-cobalt/6580727730.html
14,840-1079,https://austin.craigslist.org/cto/d/nissan-versa-note/6580726062.html
15,840-1079,https://austin.craigslist.org/cto/d/2006-nissan-pathfinder-se/6580725457.html
16,840-1079,https://austin.craigslist.org/cto/d/clean-mazda-3/6580725153.html
17,840-1079,https://austin.craigslist.org/cto/d/2010-nissan-sentra-clean/6560811550.html
18,840-1079,https://austin.craigslist.org/cto/d/2008-toyota-prius-133k-miles/6573438111.html
19,840-1079,https://austin.craigslist.org/cto/d/2012-nissan-altima-economical/6576428258.html
20,840-1079,https://austin.craigslist.org/cto/d/chevy-blazer/6580724335.html
21,840-1079,https://austin.craigslist.org/ctd/d/2012-ford-expedition-king/6580728775.html
22,840-1079,https://austin.craigslist.org/cto/d/2016-toyota-corolla/6580724168.html
23,840-1079,https://austin.craigslist.org/ctd/d/2006-dodge-ram-2500-trx4-off/6580728490.html
24,840-1079,https://austin.craigslist.org/cto/d/kia-amanti-ao-2006-millas-70/6559579407.html
25,840-1079,https://austin.craigslist.org/cto/d/nissan-sentra/6573879256.html
26,840-1079,https://austin.craigslist.org/cto/d/ford-focus-ao-2015-millas-25/6573875132.html
27,840-1079,https://austin.craigslist.org/cto/d/2011-chevrolet-silverado-z71/6580723188.html
28,840-1079,https://austin.craigslist.org/cto/d/kia-sedona-ao-2014-millas-61/6577599960.html
29,840-1079,https://austin.craigslist.org/cto/d/2012-fordgas-fueled-rwd/6580722626.html
30,840-1079,https://austin.craigslist.org/cto/d/vendo-jeep-comps-sports/6577613486.html
31,840-1079,https://austin.craigslist.org/cto/d/2010-ford-250-4x4/6578676107.html
32,840-1079,https://austin.craigslist.org/cto/d/2006-mercedes-cls500/6580721600.html
33,840-1079,https://austin.craigslist.org/cto/d/1970-chevelle-frame-off-fuel/6580707480.html
34,840-1079,https://austin.craigslist.org/cto/d/2015-cadillac-srx/6573160494.html
35,840-1079,https://austin.craigslist.org/ctd/d/2015-ford-edge-se/6580720322.html
36,840-1079,https://austin.craigslist.org/cto/d/2017-hyundai-accent/6567287640.html
37,840-1079,https://austin.craigslist.org/cto/d/low-miles-2013-jetta/6580715354.html
38,840-1079,https://austin.craigslist.org/cto/d/2013-chevrolet-silverado/6577649313.html
39,840-1079,https://austin.craigslist.org/cto/d/1996-gmc-safari-cargo-van-low/6578546334.html
40,840-1079,https://austin.craigslist.org/ctd/d/2017-acura-rdx-4dr-suv/6580719195.html
41,840-1079,https://austin.craigslist.org/cto/d/2007-mercedes-benz-c280-4matic/6580714411.html
42,840-1079,https://austin.craigslist.org/ctd/d/2017-dodge-grand-caravan-sxt/6580718577.html
43,840-1079,https://austin.craigslist.org/cto/d/2010-kia-forte-koup/6577673459.html
44,840-1079,https://austin.craigslist.org/ctd/d/2016-chevrolet-silverado-1500/6580718534.html
45,840-1079,https://austin.craigslist.org/ctd/d/2015-gmc-sierra-1500-sle/6580718537.html
46,840-1079,https://austin.craigslist.org/ctd/d/2016-ford-explorer-xlt/6580718369.html
47,840-1079,https://austin.craigslist.org/ctd/d/2013-mercedes-benz-glk-class/6580718329.html
48,840-1079,https://austin.craigslist.org/ctd/d/2013-ford-edge-sel/6580718302.html
49,840-1079,https://austin.craigslist.org/cto/d/2010-kia-forte-koup/6577677414.html
50,840-1079,https://austin.craigslist.org/ctd/d/2009-ford-edge-sel--specials/6580717331.html
51,840-1079,https://austin.craigslist.org/cto/d/toyota-corolla/6574344330.html
52,840-1079,https://austin.craigslist.org/cto/d/2012-ford-250/6580695593.html
53,840-1079,https://austin.craigslist.org/cto/d/2012-toyota/6580710894.html
54,840-1079,https://austin.craigslist.org/cto/d/2005-toyota-tacoma-trd-sport/6580706381.html
55,840-1079,https://austin.craigslist.org/cto/d/2005-scion-xb/6576625028.html
56,840-1079,https://austin.craigslist.org/cto/d/2006-ford-explorer/6572147847.html
57,840-1079,https://austin.craigslist.org/cto/d/chevrolet-truck/6580709350.html
58,840-1079,https://austin.craigslist.org/cto/d/buick-lucerne-92k/6580709288.html
59,840-1079,https://austin.craigslist.org/cto/d/2005-hyundai-santa-fe-4wd/6580708918.html
60,840-1079,https://austin.craigslist.org/cto/d/hyundai-elantra-limite-2013/6580708798.html
61,840-1079,https://austin.craigslist.org/ctd/d/2018-infiniti-qx30-awd-luxury/6580711862.html
62,840-1079,https://austin.craigslist.org/cto/d/2008-jeep-wrangler-unlimited/6578122314.html
63,840-1079,https://austin.craigslist.org/cto/d/2007-jeep-wrangler-unlimited/6578126919.html
64,840-1079,https://austin.craigslist.org/cto/d/great-corolla-with-sports/6580705872.html
65,840-1079,https://austin.craigslist.org/cto/d/2013-infiniti-g37-sedan/6574459125.html
66,840-1079,https://austin.craigslist.org/cto/d/2010-kia-forte-koup/6580704826.html
67,840-1079,https://austin.craigslist.org/cto/d/2015-hyundai-accent-7990/6580704403.html
68,840-1079,https://austin.craigslist.org/ctd/d/2013-ford-fiesta-se-1-owner/6580708767.html
69,840-1079,https://austin.craigslist.org/cto/d/2009-toyota-camry/6580703828.html
70,840-1079,https://austin.craigslist.org/cto/d/acura-legend-116k-daily-driver/6580703660.html
71,840-1079,https://austin.craigslist.org/cto/d/2008-kia-sorento/6567649988.html
72,840-1079,https://austin.craigslist.org/cto/d/2010-jeep-liberty-suv/6561164380.html
73,840-1079,https://austin.craigslist.org/cto/d/2004-nissan-frontier-crew-cab/6554636991.html
74,840-1079,https://austin.craigslist.org/ctd/d/2015-dodge-dart-limited/6580707354.html
75,840-1079,https://austin.craigslist.org/ctd/d/2015-ford-expedition-el-xlt/6580707352.html
76,840-1079,https://austin.craigslist.org/ctd/d/2015-chevrolet-equinox-lt/6580707250.html
77,840-1079,https://austin.craigslist.org/cto/d/2004-pontiac-vibe-2700-obo/6580701657.html
78,840-1079,https://austin.craigslist.org/cto/d/2005-ford-f150/6554650564.html
79,840-1079,https://austin.craigslist.org/cto/d/2004-hyundai-accent-very-low/6573600521.html
80,840-1079,https://austin.craigslist.org/cto/d/need-gone-asap/6573480387.html
81,840-1079,https://austin.craigslist.org/ctd/d/2014-chevrolet-chevy-camaro/6580704234.html
82,840-1079,https://austin.craigslist.org/cto/d/2014-kia-forte-price-reduce/6574320623.html
83,840-1079,https://austin.craigslist.org/cto/d/1991-honda-civic/6574321024.html
84,840-1079,https://austin.craigslist.org/cto/d/2007-kia-ro-price-to-sale-1900/6567433555.html
85,840-1079,https://austin.craigslist.org/cto/d/2007-toyota-rav4/6561157738.html
86,840-1079,https://austin.craigslist.org/cto/d/2012-audi-a4-quattro-premium/6575443994.html
87,840-1079,https://austin.craigslist.org/cto/d/2006-mitsubishi-lancer/6580696892.html
88,840-1079,https://austin.craigslist.org/cto/d/2005-jeep-liberty-sport-4x4/6580651681.html
89,840-1079,https://austin.craigslist.org/cto/d/2007-honda-cr-ex/6580694966.html
90,840-1079,https://austin.craigslist.org/cto/d/one-owner-and-owner/6580692319.html
91,840-1079,https://austin.craigslist.org/cto/d/transmission-repair-english/6580693478.html
92,840-1079,https://austin.craigslist.org/cto/d/mazda-cxtouring-full-leather/6580692415.html
93,840-1079,https://austin.craigslist.org/cto/d/2008-honda-fitruns-very/6565776974.html
94,840-1079,https://austin.craigslist.org/cto/d/2005-chevy-silverado/6578773543.html
95,840-1079,https://austin.craigslist.org/cto/d/mazda-6-sport/6580690027.html
96,840-1079,https://austin.craigslist.org/cto/d/ranco-belly-dump-de-venta-cps/6554602840.html
97,840-1079,https://austin.craigslist.org/cto/d/2005-mercedes-benz-c230/6574973675.html
98,840-1079,https://austin.craigslist.org/cto/d/2007suzuki-forenza-600/6580689559.html
99,840-1079,https://austin.craigslist.org/cto/d/2013-jeep-patriot/6580688955.html
100,840-1079,https://austin.craigslist.org/cto/d/2017-toyota-corolla-lewhite/6556399583.html
101,840-1079,https://austin.craigslist.org/cto/d/still-under-toyota-factory/6580604523.html
102,840-1079,https://austin.craigslist.org/cto/d/2009-lt-chevrolet-tahoe-white/6560469374.html
103,840-1079,https://austin.craigslist.org/cto/d/2003-yukon-slt/6580686228.html
104,840-1079,https://austin.craigslist.org/cto/d/2013-subaru-impreza-20i/6580685415.html
105,840-1079,https://austin.craigslist.org/cto/d/2008-toyota-fj-cruiser-4wd/6560490147.html
106,840-1079,https://austin.craigslist.org/cto/d/2008-toyota-scion-xd-standard/6580684456.html
107,840-1079,https://austin.craigslist.org/cto/d/2013-ford-150-platinum-4x4/6580683823.html
108,840-1079,https://austin.craigslist.org/cto/d/2011-hyundai-accent-gls-only/6580683178.html
109,840-1079,https://austin.craigslist.org/cto/d/2008-nissan-sentra-20/6580681883.html
110,840-1079,https://austin.craigslist.org/cto/d/1986-chevrolet-silverado/6573903324.html
111,840-1079,https://austin.craigslist.org/cto/d/1987-toyota-land-cruiser-fjobo/6569385208.html
112,840-1079,https://austin.craigslist.org/cto/d/2000-toyota-camry-le-auto/6570548166.html
113,840-1079,https://austin.craigslist.org/ctd/d/2011-honda-cr-ex-4dr-suv-suv/6580684273.html
114,840-1079,https://austin.craigslist.org/cto/d/2006-toyota-sienna-good/6580671479.html
115,840-1079,https://austin.craigslist.org/cto/d/2017-toyota-camry-le-white/6559401804.html
116,840-1079,https://austin.craigslist.org/cto/d/2008-toyota-corolla-135k-miles/6580633765.html
117,840-1079,https://austin.craigslist.org/cto/d/honda-crx/6575625196.html
118,840-1079,https://austin.craigslist.org/cto/d/volkswagen-bora/6575879781.html
119,840-1079,https://austin.craigslist.org/cto/d/2009-audi-a4-quattro-premium/6580676550.html
120,840-1079,https://austin.craigslist.org/cto/d/ford-explorer-xlt/6580670056.html
121,840-1079,https://austin.craigslist.org/cto/d/2006-nissan-terra-automatic/6580656401.html
122,840-1079,https://austin.craigslist.org/cto/d/2009-audi-a4-quattro-premium/6555584328.html
123,840-1079,https://austin.craigslist.org/ctd/d/2004-honda-accord-ex-leather/6580673459.html
124,840-1079,https://austin.craigslist.org/cto/d/2007-toyota-prius-needs-love/6580668386.html
125,840-1079,https://austin.craigslist.org/ctd/d/2010-jeep-wrangler-rubicon-4wd/6580672808.html
126,840-1079,https://austin.craigslist.org/cto/d/2007-lincoln-mkz-4dr-sedan/6580641935.html
127,840-1079,https://austin.craigslist.org/cto/d/2018-nissan-versa-sv-12k-miles/6578223556.html
128,840-1079,https://austin.craigslist.org/cto/d/rebuilt-1999-gmc-suburban/6567134098.html
129,840-1079,https://austin.craigslist.org/cto/d/2006-mitsubishi-lancer/6580666224.html
130,840-1079,https://austin.craigslist.org/cto/d/infiniti-g35-coupe/6580665957.html
131,840-1079,https://austin.craigslist.org/cto/d/ford-expedition/6580665793.html
132,840-1079,https://austin.craigslist.org/cto/d/2008-mercedes-c300-in-house/6564584122.html
133,840-1079,https://austin.craigslist.org/cto/d/2014-volkswagen-jetta-se-low/6557286342.html
134,840-1079,https://austin.craigslist.org/cto/d/2003-chevrolet-avalanche-tow/6571169686.html
135,840-1079,https://austin.craigslist.org/cto/d/2009-mercedes-benz-c300-clean/6577824545.html
136,840-1079,https://austin.craigslist.org/cto/d/2003-nissan-murano-great/6580662071.html
137,840-1079,https://austin.craigslist.org/cto/d/lifted-f350-make-offer/6578119006.html
138,840-1079,https://austin.craigslist.org/cto/d/2005-acura-tl-one-owner/6577817103.html
139,840-1079,https://austin.craigslist.org/cto/d/2010-toyota-camry-5400-obo/6576248012.html
140,840-1079,https://austin.craigslist.org/cto/d/2009-honda-accord-1-owner/6570386841.html
141,840-1079,https://austin.craigslist.org/cto/d/2008-nissan-xterra/6556282339.html
142,840-1079,https://austin.craigslist.org/cto/d/2004-toyota-corolla-1-owner/6570388568.html
