,batch,urls
0,1840-2079,https://austin.craigslist.org/ctd/d/2010-volkswagen-cc-4dr-dsg/6580220379.html
1,1840-2079,https://austin.craigslist.org/ctd/d/2009-mini-cooper-clubman-2dr/6580220164.html
2,1840-2079,https://austin.craigslist.org/ctd/d/2005-mercedes-benz-class-4dr/6580219883.html
3,1840-2079,https://austin.craigslist.org/ctd/d/2007-bmw-3-series-2dr-cpe/6580219681.html
4,1840-2079,https://austin.craigslist.org/ctd/d/2000-bmw-z3-z3-2dr-roadster/6580219511.html
5,1840-2079,https://austin.craigslist.org/cto/d/1999-bmw-and-1996-bmw/6580217117.html
6,1840-2079,https://austin.craigslist.org/ctd/d/2008-bmw-3-series-2dr-conv/6580219340.html
7,1840-2079,https://austin.craigslist.org/ctd/d/2008-bmw-3-series-2dr-conv/6580219167.html
8,1840-2079,https://austin.craigslist.org/cto/d/2006-bmw-325i-121k-clean-title/6580216544.html
9,1840-2079,https://austin.craigslist.org/ctd/d/2011-nissan-370z-2dr-cpe/6580218907.html
10,1840-2079,https://austin.craigslist.org/cto/d/perfection-2007-lexus-rxk/6567093450.html
11,1840-2079,https://austin.craigslist.org/ctd/d/2014-bmw-3-series-4dr-sdn/6580218621.html
12,1840-2079,https://austin.craigslist.org/cto/d/116k-bmw-325i-sedan-like-new/6573764324.html
13,1840-2079,https://austin.craigslist.org/cto/d/2003-honda-accord-2d/6567087100.html
14,1840-2079,https://austin.craigslist.org/cto/d/like-new-2003-honda-accord-exl/6562058483.html
15,1840-2079,https://austin.craigslist.org/cto/d/1967-volkswagen-bug/6580215415.html
16,1840-2079,https://austin.craigslist.org/ctd/d/2010-mini-cooper-convertible/6580217639.html
17,1840-2079,https://austin.craigslist.org/ctd/d/2008-bmw-5-series-4dr-sdn/6580217453.html
18,1840-2079,https://austin.craigslist.org/ctd/d/2012-volkswagen-gti-2dr-hb-man/6580217295.html
19,1840-2079,https://austin.craigslist.org/ctd/d/2011-bmw-5-series-4dr-sdn/6580217149.html
20,1840-2079,https://austin.craigslist.org/ctd/d/2016-chevrolet-express-box/6580217022.html
21,1840-2079,https://austin.craigslist.org/ctd/d/2012-land-rover-range-rover/6580216943.html
22,1840-2079,https://austin.craigslist.org/cto/d/2007-mini-cooper-low-mileage/6580214442.html
23,1840-2079,https://austin.craigslist.org/cto/d/special-edition-ml350/6574121914.html
24,1840-2079,https://austin.craigslist.org/ctd/d/2015-toyota-sienna-le/6580216601.html
25,1840-2079,https://austin.craigslist.org/ctd/d/2008-mercedes-benz-class-4dr/6580216197.html
26,1840-2079,https://austin.craigslist.org/ctd/d/2002-ford-thunderbird-2dr/6580215659.html
27,1840-2079,https://austin.craigslist.org/cto/d/2001-chevy-tahoe-ls-4-door/6571647170.html
28,1840-2079,https://austin.craigslist.org/cto/d/2010-chrysler-300/6580212284.html
29,1840-2079,https://austin.craigslist.org/ctd/d/2012-bmw-1-series-2dr-cpe-128i/6580214866.html
30,1840-2079,https://austin.craigslist.org/ctd/d/2011-subaru-impreza-sedan-wrx/6580214660.html
31,1840-2079,https://austin.craigslist.org/ctd/d/2010-chevrolet-camaro-2dr-cpe/6580214388.html
32,1840-2079,https://austin.craigslist.org/ctd/d/2006-bmw-5-series-m5-4dr-sdn/6580213948.html
