,batch,urls
0,360-599,https://austin.craigslist.org/cto/d/2012-kia-soul/6555296297.html
1,360-599,https://austin.craigslist.org/cto/d/2010-nissan-altima-automatic/6581072469.html
2,360-599,https://austin.craigslist.org/cto/d/1978-dodge-truck/6562987902.html
3,360-599,https://austin.craigslist.org/cto/d/2006-mercedes-clk500-coupe-v8/6566506226.html
4,360-599,https://austin.craigslist.org/cto/d/2005-freightliner-columbia/6581070444.html
5,360-599,https://austin.craigslist.org/cto/d/1965-dodge-d200-with-440-and/6579233378.html
6,360-599,https://austin.craigslist.org/cto/d/2001-mustang-gt-standard/6575909870.html
7,360-599,https://austin.craigslist.org/cto/d/2005-sion/6581069101.html
8,360-599,https://austin.craigslist.org/cto/d/2011-ford-fusion/6575898654.html
9,360-599,https://austin.craigslist.org/ctd/d/2017-audi-q7-30t-quattro/6581070481.html
10,360-599,https://austin.craigslist.org/cto/d/1995-ford-epassenger-van/6581064564.html
11,360-599,https://austin.craigslist.org/cto/d/1992-4x4-ford-f350-utility/6581064500.html
12,360-599,https://austin.craigslist.org/cto/d/mazda-6-sport/6581064380.html
13,360-599,https://austin.craigslist.org/cto/d/acura-tsx-2004/6573562946.html
14,360-599,https://austin.craigslist.org/cto/d/2003-honda-odyssey-minivan/6564591702.html
15,360-599,https://austin.craigslist.org/cto/d/chevrolethd-4x4/6572101084.html
16,360-599,https://austin.craigslist.org/cto/d/1997-whitehall-dune-buggy/6562676030.html
17,360-599,https://austin.craigslist.org/ctd/d/2017-volvo-s60-t5-fwd-dynamic/6581062182.html
18,360-599,https://austin.craigslist.org/cto/d/ford-dually/6581058659.html
19,360-599,https://austin.craigslist.org/cto/d/tahoe-and-crown-vic-two-for/6581055307.html
20,360-599,https://austin.craigslist.org/cto/d/2013-ford-150-stx-pick-up/6575043127.html
21,360-599,https://austin.craigslist.org/cto/d/1951-studebaker-champion-sale/6581054303.html
22,360-599,https://austin.craigslist.org/cto/d/genesis-limited-38l-clean/6581053639.html
23,360-599,https://austin.craigslist.org/cto/d/2013-kia/6581053164.html
24,360-599,https://austin.craigslist.org/cto/d/2013-toyota-corollablue-at/6559469350.html
25,360-599,https://austin.craigslist.org/cto/d/2011-toyota-tundra-sr5-double/6558335806.html
26,360-599,https://austin.craigslist.org/cto/d/2014-toyota-sienna-le/6572377855.html
27,360-599,https://austin.craigslist.org/cto/d/2011-ford-fiesta-not-running/6581052079.html
28,360-599,https://austin.craigslist.org/cto/d/2003-ford-explorer-bad/6581049492.html
29,360-599,https://austin.craigslist.org/cto/d/1990-chevrolet-g20-van/6571654230.html
30,360-599,https://austin.craigslist.org/cto/d/2008-nissan-altima-35-se-v6/6581045639.html
