,batch,urls
0,2080-2319,https://austin.craigslist.org/cto/d/2002-toyota-tundra/6575467698.html
1,2080-2319,https://austin.craigslist.org/ctd/d/2005-chevrolet-silveradowd/6580051600.html
2,2080-2319,https://austin.craigslist.org/ctd/d/2009-dodge-ram-slt-crew-cabwe/6580050663.html
3,2080-2319,https://austin.craigslist.org/cto/d/2015-honda-civic-lx-sedan-low/6580012242.html
4,2080-2319,https://austin.craigslist.org/cto/d/excellent-condition/6580027001.html
5,2080-2319,https://austin.craigslist.org/ctd/d/low-miles-2010-toyota-tundra/6580047767.html
6,2080-2319,https://austin.craigslist.org/cto/d/2011-sports-mod-race/6553099999.html
7,2080-2319,https://austin.craigslist.org/cto/d/2001-ford-sport-track-4500/6576214257.html
8,2080-2319,https://austin.craigslist.org/cto/d/2011-sports-mod-race/6556566822.html
9,2080-2319,https://austin.craigslist.org/cto/d/toyota-siena-4500/6576380963.html
10,2080-2319,https://austin.craigslist.org/cto/d/2011-toyota-prius-hybrid/6580042067.html
11,2080-2319,https://austin.craigslist.org/cto/d/kiario-lx-hatchback-great-car/6580041708.html
12,2080-2319,https://austin.craigslist.org/cto/d/2013-chevrolet-malibu/6579963047.html
13,2080-2319,https://austin.craigslist.org/cto/d/2010-dodge-challenger/6580037775.html
14,2080-2319,https://austin.craigslist.org/ctd/d/2012-nissan-altima/6580040881.html
15,2080-2319,https://austin.craigslist.org/cto/d/2000-ford-expedition-no-title/6580036683.html
16,2080-2319,https://austin.craigslist.org/cto/d/1925-ford-model-tt-truck/6571461616.html
17,2080-2319,https://austin.craigslist.org/cto/d/2007-escalate-limo/6580035589.html
18,2080-2319,https://austin.craigslist.org/cto/d/2003-ford-mustang/6580033635.html
19,2080-2319,https://austin.craigslist.org/ctd/d/2005-chevrolet-silverado-2500/6580038581.html
20,2080-2319,https://austin.craigslist.org/cto/d/2016-honda-cr-lx/6577927975.html
21,2080-2319,https://austin.craigslist.org/ctd/d/2015-bmwi-sedan/6580036734.html
22,2080-2319,https://austin.craigslist.org/cto/d/blue-bmw/6569380234.html
23,2080-2319,https://austin.craigslist.org/ctd/d/2008-toyota-4-runner-sr5/6580035164.html
24,2080-2319,https://austin.craigslist.org/cto/d/white-subaru/6571264529.html
25,2080-2319,https://austin.craigslist.org/cto/d/2007-nissan-versa-sl/6566654023.html
26,2080-2319,https://austin.craigslist.org/cto/d/2008-subaru-outback-limited/6579991819.html
27,2080-2319,https://austin.craigslist.org/ctd/d/2007-ford-250-xlt-bulletproof/6580033335.html
28,2080-2319,https://austin.craigslist.org/ctd/d/2011-hyundai-sonata-gls/6580030501.html
29,2080-2319,https://austin.craigslist.org/cto/d/2008-mazda-cx-9/6580026475.html
30,2080-2319,https://austin.craigslist.org/ctd/d/2010-mazda-3-low-miles/6580030058.html
31,2080-2319,https://austin.craigslist.org/cto/d/2008-volkswagen-passat-20t/6566036016.html
32,2080-2319,https://austin.craigslist.org/cto/d/2012-mini-cooper-coupe-john/6580025341.html
33,2080-2319,https://austin.craigslist.org/cto/d/2007-nissan-titan-work-truck/6577821280.html
34,2080-2319,https://austin.craigslist.org/ctd/d/2003-ford-ranger-xlt-supercab/6580026817.html
35,2080-2319,https://austin.craigslist.org/cto/d/1993-ford-f150/6555609683.html
