,batch,urls
0,0-359,https://austin.craigslist.org/cto/d/2011-honda-cr-ex/6560937087.html
1,0-359,https://austin.craigslist.org/ctd/d/2015-jaguar-type-coupe-17k/6581378483.html
2,0-359,https://austin.craigslist.org/cto/d/1998-bmw-740/6553633520.html
3,0-359,https://austin.craigslist.org/ctd/d/2012-range-rover-hse-lux-v8/6581377466.html
4,0-359,https://austin.craigslist.org/cto/d/04-king-ranch4xobo/6581373698.html
5,0-359,https://austin.craigslist.org/ctd/d/2006-bmw-e46-m3-convertible/6581375825.html
6,0-359,https://austin.craigslist.org/cto/d/2008-lexus-is-250/6574338487.html
7,0-359,https://austin.craigslist.org/ctd/d/2012-dodge-ram-3500-laramie/6581374437.html
8,0-359,https://austin.craigslist.org/cto/d/bmw-335i-coupe-great-condition/6558060143.html
9,0-359,https://austin.craigslist.org/cto/d/hyundai-accent/6568898696.html
10,0-359,https://austin.craigslist.org/cto/d/2013-infiniti-g37x-29kclean/6576167080.html
11,0-359,https://austin.craigslist.org/cto/d/2008-honda-odyssey-touring/6581367211.html
12,0-359,https://austin.craigslist.org/cto/d/2006-silverado-2500-hd/6581366769.html
13,0-359,https://austin.craigslist.org/cto/d/blackout-and-customize-your/6581351479.html
14,0-359,https://austin.craigslist.org/cto/d/1986-lincoln-town-car/6581365294.html
15,0-359,https://austin.craigslist.org/cto/d/working-order-and-ready-2004/6576158567.html
16,0-359,https://austin.craigslist.org/cto/d/1997-dodge-ram-1500/6578951938.html
17,0-359,https://austin.craigslist.org/cto/d/2003-jeep-liberty-4-cyl-5-spd/6581361887.html
18,0-359,https://austin.craigslist.org/cto/d/great-parts-car-subaru-outback/6581361597.html
19,0-359,https://austin.craigslist.org/cto/d/toyota-camry-1999/6581361416.html
20,0-359,https://austin.craigslist.org/cto/d/1978-chevy-c10/6577368437.html
21,0-359,https://austin.craigslist.org/cto/d/2000-vw-jetta/6560920550.html
22,0-359,https://austin.craigslist.org/cto/d/toyota-tundra-sr5/6571665041.html
23,0-359,https://austin.craigslist.org/cto/d/2007-honda-accord-ex/6581351393.html
24,0-359,https://austin.craigslist.org/cto/d/2015-mazda-3-touring-only-15k/6581357714.html
25,0-359,https://austin.craigslist.org/cto/d/th-anniversary-edition/6581357172.html
26,0-359,https://austin.craigslist.org/cto/d/2003-toyota-camry/6581356318.html
27,0-359,https://austin.craigslist.org/cto/d/2006-mercedes-benz-e350-class/6574171776.html
28,0-359,https://austin.craigslist.org/cto/d/2011-lexus-rx350-pearl-white/6581344836.html
29,0-359,https://austin.craigslist.org/cto/d/sql-chevrolet-bel-air-1957-fjo/6579051569.html
30,0-359,https://austin.craigslist.org/cto/d/2012-chevy-corvette/6557513376.html
31,0-359,https://austin.craigslist.org/cto/d/2002-4rrunervsport/6572045857.html
32,0-359,https://austin.craigslist.org/cto/d/2007-infiniti-g35-coupe/6572590232.html
33,0-359,https://austin.craigslist.org/cto/d/lexus-is250-sporty/6572589997.html
34,0-359,https://austin.craigslist.org/cto/d/2009-honda-pilot/6581354641.html
35,0-359,https://austin.craigslist.org/cto/d/2009-chevrolet-trailblazer/6571005538.html
36,0-359,https://austin.craigslist.org/cto/d/2008-lexus-es350/6581353909.html
37,0-359,https://austin.craigslist.org/cto/d/infiniti-g35manual/6577000312.html
38,0-359,https://austin.craigslist.org/cto/d/2011-toyota-tacoma-4x4-lifted/6577018836.html
39,0-359,https://austin.craigslist.org/cto/d/toyota-corolla/6577395250.html
40,0-359,https://austin.craigslist.org/cto/d/1979-c3-corvette-coupe-l48/6565494577.html
41,0-359,https://austin.craigslist.org/cto/d/2006-hyundai-elantra/6581351719.html
42,0-359,https://austin.craigslist.org/cto/d/toyota-camry-2005/6581350979.html
43,0-359,https://austin.craigslist.org/cto/d/1996-explorer-v8-gt/6579048511.html
44,0-359,https://austin.craigslist.org/cto/d/2007-pontiac-vibe/6572128229.html
45,0-359,https://austin.craigslist.org/cto/d/2006-lexus-is250/6572042701.html
46,0-359,https://austin.craigslist.org/cto/d/1991-bmw-850i-trade/6569487268.html
47,0-359,https://austin.craigslist.org/cto/d/80s-chevy-caprice/6563329437.html
48,0-359,https://austin.craigslist.org/cto/d/1988-gmc-2500-vandura/6563328324.html
49,0-359,https://austin.craigslist.org/cto/d/2013-hyundai-sonata-gls-44k/6581350186.html
50,0-359,https://austin.craigslist.org/cto/d/1974-ford-100-4x4-automatic/6567373551.html
51,0-359,https://austin.craigslist.org/cto/d/2010-nissan-altima-automatic/6581349919.html
52,0-359,https://austin.craigslist.org/ctd/d/2008-ford-mustang-gt/6581352099.html
53,0-359,https://austin.craigslist.org/ctd/d/2017-chrysler-300-series/6581351705.html
54,0-359,https://austin.craigslist.org/ctd/d/2017-chevrolet-silverado-1500/6581351495.html
55,0-359,https://austin.craigslist.org/ctd/d/2015-jeep-cherokee-limited/6581351346.html
56,0-359,https://austin.craigslist.org/ctd/d/2014-chevrolet-silverado-1500/6581351185.html
57,0-359,https://austin.craigslist.org/ctd/d/2014-ford-escape-titanium/6581351208.html
58,0-359,https://austin.craigslist.org/ctd/d/2015-chrysler-town-country/6581351004.html
59,0-359,https://austin.craigslist.org/ctd/d/2012-nissan-sentra-20-sr/6581350776.html
60,0-359,https://austin.craigslist.org/ctd/d/2009-honda-civic-lx-1-owner/6581350559.html
61,0-359,https://austin.craigslist.org/ctd/d/2012-chevrolet-equinox-ltz/6581350213.html
62,0-359,https://austin.craigslist.org/ctd/d/2008-chevrolet-trailblazer-lt/6581349985.html
63,0-359,https://austin.craigslist.org/cto/d/2010-toyota-corolla/6559908834.html
64,0-359,https://austin.craigslist.org/cto/d/2006-bmw-mmiles-immaculate/6579129744.html
65,0-359,https://austin.craigslist.org/cto/d/ford-f150-pickup-truck/6568240509.html
66,0-359,https://austin.craigslist.org/cto/d/2008-saturn-vue/6581344033.html
67,0-359,https://austin.craigslist.org/cto/d/2008-toyota-highlander-price/6572225123.html
68,0-359,https://austin.craigslist.org/cto/d/2012-nissan-juke-sl-sport/6581343809.html
69,0-359,https://austin.craigslist.org/cto/d/2007-hyundai-sonata/6575872516.html
70,0-359,https://austin.craigslist.org/cto/d/2013-volskwagen-passat/6579571793.html
71,0-359,https://austin.craigslist.org/cto/d/2003-susuki-vitara-compact-suv/6581343160.html
72,0-359,https://austin.craigslist.org/cto/d/2011-mazda-cx7/6581339570.html
73,0-359,https://austin.craigslist.org/cto/d/dodge-ram/6564613763.html
74,0-359,https://austin.craigslist.org/cto/d/f/6564607319.html
75,0-359,https://austin.craigslist.org/cto/d/2010-fdiesel/6564564138.html
76,0-359,https://austin.craigslist.org/cto/d/1992-ford-250-v8-73-liter/6570541659.html
77,0-359,https://austin.craigslist.org/cto/d/2006-chevy-hhr/6576545253.html
78,0-359,https://austin.craigslist.org/cto/d/food-trailer-price-reduced-to/6581336745.html
79,0-359,https://austin.craigslist.org/cto/d/1999-honda-crv-this-weekend/6581336522.html
80,0-359,https://austin.craigslist.org/cto/d/2001-camaro-ss-60-6-speed/6581335092.html
81,0-359,https://austin.craigslist.org/cto/d/teslalow-miles/6577084260.html
82,0-359,https://austin.craigslist.org/cto/d/2013-tesla-model-p85/6576880499.html
