,batch,urls
0,2560-2799,https://austin.craigslist.org/cto/d/price-reduced-2015-toyota/6572613461.html
1,2560-2799,https://austin.craigslist.org/ctd/d/2015-toyota-yaris-5dr/6579677981.html
2,2560-2799,https://austin.craigslist.org/ctd/d/2007-ford-150-xl-2wd-supercab/6579677762.html
3,2560-2799,https://austin.craigslist.org/cto/d/2011-subaru-forester/6579645176.html
4,2560-2799,https://austin.craigslist.org/cto/d/2002-saturn/6579669128.html
5,2560-2799,https://austin.craigslist.org/cto/d/2006-lexus-is-250/6579668915.html
6,2560-2799,https://austin.craigslist.org/cto/d/1992-chevrolet-corvette-c4/6579668074.html
7,2560-2799,https://austin.craigslist.org/cto/d/2007-infiniti-fx35-awd/6579667749.html
8,2560-2799,https://austin.craigslist.org/ctd/d/2004-chevrolet-silverado-1500/6579672086.html
9,2560-2799,https://austin.craigslist.org/cto/d/nissan-maxima-sv-v6-engine/6571142228.html
10,2560-2799,https://austin.craigslist.org/cto/d/2010-dodge-ram-3500-slt-4door/6556996817.html
11,2560-2799,https://austin.craigslist.org/cto/d/2014-ford-f350-ext-cab-with/6556319581.html
12,2560-2799,https://austin.craigslist.org/cto/d/2008-chevrolet-3500-ext-cab/6556197460.html
13,2560-2799,https://austin.craigslist.org/ctd/d/2015-toyota-camry-4dr-sedan/6579670659.html
14,2560-2799,https://austin.craigslist.org/cto/d/2016-ford-f550-with-19-jerr/6556208591.html
15,2560-2799,https://austin.craigslist.org/cto/d/2011-tacoma-4x/6579663533.html
16,2560-2799,https://austin.craigslist.org/cto/d/2010-dodge-challenger-rt/6571221115.html
17,2560-2799,https://austin.craigslist.org/cto/d/1980-camaro-race-car-roller/6577704327.html
18,2560-2799,https://austin.craigslist.org/cto/d/2005-scion-xb/6570319119.html
19,2560-2799,https://austin.craigslist.org/cto/d/nice-2007-cadillac-deville-dts/6572857032.html
20,2560-2799,https://austin.craigslist.org/cto/d/15-subaru-impreza-premium/6579661780.html
21,2560-2799,https://austin.craigslist.org/cto/d/2005-subaru/6579622223.html
22,2560-2799,https://austin.craigslist.org/cto/d/2003-chevrolet-suburban-1500/6558026073.html
23,2560-2799,https://austin.craigslist.org/cto/d/2010-volkswagen-jetta/6553083574.html
24,2560-2799,https://austin.craigslist.org/cto/d/2006-toyota-avalon-5500/6579660870.html
25,2560-2799,https://austin.craigslist.org/ctd/d/2013-nissan-altima-brown/6579665574.html
26,2560-2799,https://austin.craigslist.org/cto/d/2008-ford-explorer-fully/6571249034.html
27,2560-2799,https://austin.craigslist.org/cto/d/2009-honda-accord-lx/6572147448.html
28,2560-2799,https://austin.craigslist.org/cto/d/2011-mercury-grand-marquis/6572154885.html
29,2560-2799,https://austin.craigslist.org/cto/d/2010-honda-odyssey-exl-120k/6571795296.html
30,2560-2799,https://austin.craigslist.org/cto/d/2017-bmw-x3-xdrive28i-nav/6574847360.html
31,2560-2799,https://austin.craigslist.org/cto/d/2015-toyota-camry-le-45-miles/6572136322.html
32,2560-2799,https://austin.craigslist.org/cto/d/redused1941-buick-super-8/6569030986.html
33,2560-2799,https://austin.craigslist.org/cto/d/2012-acura-tsx-vtech-4cyl/6571795866.html
34,2560-2799,https://austin.craigslist.org/cto/d/2004-toyota-corolla/6579658118.html
35,2560-2799,https://austin.craigslist.org/cto/d/chevy-corvette-convertible/6571663275.html
36,2560-2799,https://austin.craigslist.org/cto/d/2007-mazda-cx-7/6579657815.html
37,2560-2799,https://austin.craigslist.org/cto/d/winnebago-itasca-spirit-in/6579657710.html
38,2560-2799,https://austin.craigslist.org/cto/d/2016-hyundai-veloster-9900/6571645667.html
39,2560-2799,https://austin.craigslist.org/cto/d/2016-hyundai-veloster-9900/6576194955.html
40,2560-2799,https://austin.craigslist.org/cto/d/1996-gmc-safari-cargo-van/6571731058.html
41,2560-2799,https://austin.craigslist.org/cto/d/2008-hightop-explorer/6579656138.html
42,2560-2799,https://austin.craigslist.org/cto/d/2018-freightliner-m2-ext-cab/6563619161.html
43,2560-2799,https://austin.craigslist.org/cto/d/2016-ford-f350-4door-with/6564018607.html
44,2560-2799,https://austin.craigslist.org/cto/d/2005-infiniti-g35/6564547597.html
45,2560-2799,https://austin.craigslist.org/cto/d/2006-lexus-is/6572142271.html
46,2560-2799,https://austin.craigslist.org/cto/d/2012-jeep-grand-cherokee-10200/6579653932.html
47,2560-2799,https://austin.craigslist.org/cto/d/2004-lexus-gx-7900/6576192866.html
48,2560-2799,https://austin.craigslist.org/cto/d/ford-f550-with-19-jerr-dan/6566365301.html
49,2560-2799,https://austin.craigslist.org/cto/d/2009-ford-f350-lariat-ext-cab/6573220177.html
50,2560-2799,https://austin.craigslist.org/ctd/d/2011-jeep-wrangler-sport/6579658377.html
51,2560-2799,https://austin.craigslist.org/cto/d/2011-ford-350-super-duty/6553599503.html
52,2560-2799,https://austin.craigslist.org/cto/d/2013-honda-accord-coupe/6572505095.html
53,2560-2799,https://austin.craigslist.org/ctd/d/2014-ford-flex-sel-blue/6579656845.html
54,2560-2799,https://austin.craigslist.org/ctd/d/2012-ford-edge-se/6579656863.html
55,2560-2799,https://austin.craigslist.org/ctd/d/2011-acura-mdx-37l-charcoal/6579656560.html
56,2560-2799,https://austin.craigslist.org/cto/d/honda-cr-2011/6579651249.html
57,2560-2799,https://austin.craigslist.org/cto/d/2008-jeep-wrangler-unlimited/6558181071.html
