,batch,urls
0,2761-2999,https://austin.craigslist.org/cto/d/2009-honda-cr/6574807209.html
1,2761-2999,https://austin.craigslist.org/ctd/d/2017-hyundai-santa-fe-sport/6579496036.html
2,2761-2999,https://austin.craigslist.org/ctd/d/2017-chevrolet-sonic-summit/6579495833.html
3,2761-2999,https://austin.craigslist.org/ctd/d/2016-ford-focus-gray-for-sale/6579495642.html
4,2761-2999,https://austin.craigslist.org/ctd/d/2013-ford-150-gold-sweet-deal/6579495987.html
5,2761-2999,https://austin.craigslist.org/ctd/d/2012-dodge-durango-bright/6579495797.html
6,2761-2999,https://austin.craigslist.org/ctd/d/2013-mercedes-benz-class-blue/6579495609.html
7,2761-2999,https://austin.craigslist.org/ctd/d/2016-mitsubishi-outlander/6579490068.html
8,2761-2999,https://austin.craigslist.org/ctd/d/2015-bmw-x1-sdrive28i-suv/6579490020.html
9,2761-2999,https://austin.craigslist.org/ctd/d/2012-nissan-sentra-aspen-ice/6579491691.html
10,2761-2999,https://austin.craigslist.org/ctd/d/2016-dodge-charger-granite/6579491348.html
11,2761-2999,https://austin.craigslist.org/ctd/d/2015-gmc-acadia-sle-1-suv-dk/6579489975.html
12,2761-2999,https://austin.craigslist.org/ctd/d/2012-gmc-acadia-white-diamond/6579490922.html
13,2761-2999,https://austin.craigslist.org/ctd/d/2015-toyota-prius-two/6579489937.html
14,2761-2999,https://austin.craigslist.org/cto/d/hummer-h3/6579487345.html
15,2761-2999,https://austin.craigslist.org/ctd/d/2013-chevrolet-silverado-1500/6579490559.html
16,2761-2999,https://austin.craigslist.org/ctd/d/2016-chevy-chevrolet-impala/6579489871.html
17,2761-2999,https://austin.craigslist.org/ctd/d/2014-ford-150-blue-for-sale/6579490152.html
18,2761-2999,https://austin.craigslist.org/ctd/d/2016-nissan-frontier-sv/6579489817.html
19,2761-2999,https://austin.craigslist.org/ctd/d/2014-chevrolet-silverado-1500/6579489776.html
20,2761-2999,https://austin.craigslist.org/ctd/d/2013-ford-f150-stx-extended/6579489451.html
21,2761-2999,https://austin.craigslist.org/ctd/d/2014-ford-expedition-black/6579489428.html
22,2761-2999,https://austin.craigslist.org/ctd/d/2015-chevy-chevrolet-camaro/6579487166.html
23,2761-2999,https://austin.craigslist.org/ctd/d/2008-ford-150-mahogany/6579488932.html
24,2761-2999,https://austin.craigslist.org/ctd/d/2015-ford-escape-ingot-silver/6579488589.html
25,2761-2999,https://austin.craigslist.org/ctd/d/2004-toyota-camry-beige-big/6579488263.html
26,2761-2999,https://austin.craigslist.org/ctd/d/2014-ford-150-oxford-white/6579487887.html
27,2761-2999,https://austin.craigslist.org/ctd/d/2014-chevrolet-traverse/6579487534.html
28,2761-2999,https://austin.craigslist.org/cto/d/2006-honda-crv-ex/6559826050.html
29,2761-2999,https://austin.craigslist.org/ctd/d/2016-hyundai-veloster-ironman/6579486734.html
