,batch,urls
0,1560-1839,https://austin.craigslist.org/cto/d/2007-honda-civic-lx-2dr-coupe/6575257438.html
1,1560-1839,https://austin.craigslist.org/ctd/d/2014-bmw-3-series-320i-sedan/6580383908.html
2,1560-1839,https://austin.craigslist.org/cto/d/1988-wrangler-sahara/6568353784.html
3,1560-1839,https://austin.craigslist.org/cto/d/2008-miata-sport/6568354082.html
4,1560-1839,https://austin.craigslist.org/cto/d/1995-chevy-silverado-extended/6580381764.html
5,1560-1839,https://austin.craigslist.org/cto/d/2005-gmc-yukon/6580381761.html
6,1560-1839,https://austin.craigslist.org/cto/d/2007-saab-9-3-turbo-conv/6556902670.html
7,1560-1839,https://austin.craigslist.org/cto/d/2003-chevy-2500hd-crew-cab-4x4/6577050571.html
8,1560-1839,https://austin.craigslist.org/cto/d/2000-fdiesel-flatbed/6575027860.html
9,1560-1839,https://austin.craigslist.org/cto/d/2005-equinox-lt/6576576993.html
10,1560-1839,https://austin.craigslist.org/cto/d/2006-nissan-xterra/6576576836.html
11,1560-1839,https://austin.craigslist.org/cto/d/1990-suburban-4x4/6576576693.html
12,1560-1839,https://austin.craigslist.org/cto/d/2006-jeep-wrangler-rubicon/6580380953.html
13,1560-1839,https://austin.craigslist.org/cto/d/1999-f550-2l-custom-hauler/6566885663.html
14,1560-1839,https://austin.craigslist.org/cto/d/chevrolet-tahoe-2007/6580379972.html
15,1560-1839,https://austin.craigslist.org/ctd/d/2017-subaru-forester-20xt/6580380024.html
16,1560-1839,https://austin.craigslist.org/ctd/d/2015-mitsubishi-outlander-se/6580377663.html
17,1560-1839,https://austin.craigslist.org/ctd/d/2015-bmw-x1-sdrive28i-suv/6580377642.html
18,1560-1839,https://austin.craigslist.org/ctd/d/2014-bmw-3-series-320i-sedan/6580376480.html
19,1560-1839,https://austin.craigslist.org/cto/d/rx7s-titles-obo/6563880461.html
20,1560-1839,https://austin.craigslist.org/cto/d/2012-toyota-corolla/6580373948.html
21,1560-1839,https://austin.craigslist.org/cto/d/2012-chevrolet-tahoemiles/6578346886.html
22,1560-1839,https://austin.craigslist.org/cto/d/1999-nissan-altima-runs-great/6578094271.html
23,1560-1839,https://austin.craigslist.org/cto/d/2002-chevy-silverado/6578284578.html
24,1560-1839,https://austin.craigslist.org/ctd/d/2012-hyundai-sonata-gls/6580367380.html
25,1560-1839,https://austin.craigslist.org/cto/d/1973-oldsmobilespd/6564632436.html
26,1560-1839,https://austin.craigslist.org/cto/d/09-lt-suburban-rebuilt-title/6574279141.html
27,1560-1839,https://austin.craigslist.org/ctd/d/2017-subaru-outback-25i/6580361819.html
28,1560-1839,https://austin.craigslist.org/ctd/d/2016-toyota-camry-se/6580361241.html
29,1560-1839,https://austin.craigslist.org/cto/d/2007-saturn-aura-low-miles/6577466167.html
30,1560-1839,https://austin.craigslist.org/cto/d/2007-saturn-aura-low-miles/6575437481.html
31,1560-1839,https://austin.craigslist.org/cto/d/99-sedan-deville/6571964875.html
32,1560-1839,https://austin.craigslist.org/cto/d/2007-saturn-aura-low-miles/6577761524.html
33,1560-1839,https://austin.craigslist.org/cto/d/2-99-cadillac-devilles/6577758775.html
34,1560-1839,https://austin.craigslist.org/cto/d/2007-saturn-aura-low-miles/6577761029.html
35,1560-1839,https://austin.craigslist.org/ctd/d/2016-mercedes-benz-glc-class/6580359293.html
36,1560-1839,https://austin.craigslist.org/cto/d/very-dependable-06-jeep-grand/6580354721.html
37,1560-1839,https://austin.craigslist.org/ctd/d/2017-subaru-forester-20xt/6580353345.html
38,1560-1839,https://austin.craigslist.org/cto/d/fordtruck-cap-blue-need-gone/6580352691.html
39,1560-1839,https://austin.craigslist.org/cto/d/2007-bmw-528i-silver-grey/6580352406.html
40,1560-1839,https://austin.craigslist.org/cto/d/2010-f250-4x4-lariat-diesel/6578159867.html
41,1560-1839,https://austin.craigslist.org/cto/d/2008-toyota-corolla-145k/6574539855.html
42,1560-1839,https://austin.craigslist.org/cto/d/2012-volkswagen-beetle/6575923035.html
43,1560-1839,https://austin.craigslist.org/ctd/d/2016-ford-explorer-limited/6580346113.html
44,1560-1839,https://austin.craigslist.org/ctd/d/2017-subaru-forester-20xt/6580344440.html
45,1560-1839,https://austin.craigslist.org/cto/d/2016-honda-pilot-ex-one-owner/6574377768.html
46,1560-1839,https://austin.craigslist.org/ctd/d/2015-toyota-rav4-xle-skufjsuv/6580343281.html
47,1560-1839,https://austin.craigslist.org/ctd/d/2010-toyota-prius-ii/6580342227.html
48,1560-1839,https://austin.craigslist.org/cto/d/ford-f250-gas/6578413093.html
49,1560-1839,https://austin.craigslist.org/ctd/d/2012-toyota-camry-le/6580338475.html
50,1560-1839,https://austin.craigslist.org/cto/d/2006-nissan-murano-awd-auto/6580318564.html
51,1560-1839,https://austin.craigslist.org/cto/d/2004-hyundai-sonata/6580336835.html
52,1560-1839,https://austin.craigslist.org/ctd/d/2015-audi-q3-20t-premium-plus/6580336563.html
53,1560-1839,https://austin.craigslist.org/cto/d/2000-honda-accord-lx-runs/6577478480.html
54,1560-1839,https://austin.craigslist.org/cto/d/07-pontiac-g6/6568086651.html
55,1560-1839,https://austin.craigslist.org/cto/d/2002-chevy-tahoe/6555121643.html
56,1560-1839,https://austin.craigslist.org/cto/d/07-nissan-murano-sl/6555122675.html
57,1560-1839,https://austin.craigslist.org/ctd/d/2005-honda-element-ex/6580334989.html
58,1560-1839,https://austin.craigslist.org/ctd/d/2011-mercedes-benz-e350/6580334959.html
59,1560-1839,https://austin.craigslist.org/ctd/d/2010-bmw-m3/6580334911.html
60,1560-1839,https://austin.craigslist.org/cto/d/wanted-cartruck/6578410655.html
61,1560-1839,https://austin.craigslist.org/cto/d/ford-350-dually/6580332988.html
